survey,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_30,pct20_30_male,pct20_30_female,pct20_30_urban,pct20_30_rural,pct20_30_q1,pct20_30_q2,pct20_30_q3,pct20_30_q4,pct20_30_q5,pct40_50,pct40_50_male,pct40_50_female,pct40_50_urban,pct40_50_rural,pct40_50_q1,pct40_50_q2,pct40_50_q3,pct40_50_q4,pct40_50_q5
AF7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AF7,1,.66836357,.81605005,.51186919,.83267075,.60760367,.59881353,.59214169,.57380259,.695086,.85596102,.44074374,.62173933,.26121572,.62246066,.37714696,.34899619,.35091624,.33225992,.46065596,.67125583,.24604119,.39349076,.094527006,.40463251,.19445111,.14127401,.1615108,.19021323,.28674272,.46165031
AF7,2,.66649777,.81387043,.51033592,.83163631,.60543042,.59697556,.58882105,.57117409,.69417661,.85514385,.43869853,.61926347,.25959772,.61875099,.37568429,.34820017,.34960514,.33050501,.45864651,.66726708,.24394952,.39017561,.093692504,.40177235,.19260941,.13988505,.15803857,.18798347,.28639168,.45865306
AF7,3,.65117985,.80078089,.49265677,.81410283,.59093189,.58129638,.56943327,.55801886,.68060964,.8403151,.42652828,.60249782,.25198561,.60435581,.36429271,.3385666,.33763602,.32064512,.44137749,.65547293,.23318584,.3737908,.088704929,.39050072,.18201096,.13337128,.1477191,.17749764,.26880243,.4490391
AF7,4,.62422061,.77494347,.46450874,.79235661,.56204492,.5457862,.53437972,.53307754,.65733826,.82325137,.4045023,.57765871,.23274994,.57929879,.34332755,.31602776,.3158133,.30321029,.4122577,.63610321,.20894015,.33996034,.074308209,.36692658,.15754682,.11158868,.12315223,.15432243,.23907159,.42657328
AF7,5,.586797,.73416626,.4306387,.75040871,.52629429,.49824101,.50381666,.49563166,.62095231,.78810644,.37964642,.54739565,.21325739,.55043083,.31987578,.29042253,.29466259,.28289738,.3812997,.61018157,.18430211,.30368656,.06162665,.33240655,.13612342,.094862968,.10933163,.12749061,.20486349,.39387926
AF7,6,.54084229,.68229502,.39095336,.71508408,.47640872,.43599865,.4578943,.43763208,.58653289,.75691545,.35518512,.51575458,.19591774,.51997954,.29751083,.26363608,.26970997,.26396155,.36022994,.58005744,.1654157,.27460799,.053213358,.31100044,.11805667,.083623454,.088969819,.1111405,.18321711,.36821765
AF7,7,.46336845,.5879845,.33132035,.64848828,.39491224,.33937481,.37855724,.36083278,.51217449,.69518888,.31692451,.4636935,.17134573,.48412633,.25840771,.21557738,.23256238,.2299781,.32158414,.54535675,.13793115,.22964805,.043685876,.27859312,.092173479,.060750198,.060159933,.084704146,.15344198,.33816186
AF7,8,.38368347,.48544174,.27585647,.55266804,.32119402,.25938126,.30060929,.28774187,.43309763,.60806108,.29172838,.42809197,.15647057,.45147055,.23582229,.1931241,.20717598,.20871334,.29698554,.51407802,.12558305,.20865533,.040220708,.25577894,.083230026,.052958243,.053098813,.073962919,.14310125,.31206879
AF7,9,.2905018,.36162198,.21514009,.43324864,.23771492,.18928772,.21392319,.21391788,.32814285,.48210305,.26309311,.38663566,.14055242,.41912758,.20848465,.16804549,.17386396,.18419249,.26696402,.48425761,.10692278,.1751698,.036794394,.23116308,.066507131,.037273198,.040081248,.061451171,.1201055,.2824811
AF7,10,.20318243,.24392822,.16000655,.3235842,.15865861,.11931211,.14050144,.14515236,.22622879,.36395758,.2352698,.34431091,.12711291,.38703051,.18215705,.13842896,.15006317,.16088854,.23991945,.44968021,.093909666,.15261213,.03358892,.21112218,.055780169,.030056795,.032078654,.047714278,.1047383,.26114768
AF7,11,.12561373,.14544532,.10459938,.2155496,.092356041,.069395691,.079146959,.083699495,.13940811,.24137877,.20964624,.30528894,.11477914,.35643628,.15827313,.11792377,.12684748,.13727714,.21102394,.41900894,.082519852,.13400926,.029610999,.18718095,.048473358,.025693109,.026495444,.040990643,.093020037,.23194781
AF7,12,.070215955,.07309375,.06716647,.13766398,.045274138,.031654269,.03695957,.041430976,.080617771,.15002529,.1846236,.26589891,.10400741,.32144216,.1367403,.092314139,.10612813,.1159381,.19108385,.38281825,.077715002,.12603715,.028060704,.17494163,.046086956,.023712249,.025422828,.039481558,.087104537,.21809115
AF7,13,.0115493,.011618055,.011476379,.027763931,.0055533061,.0032637836,.0047864765,.0049599321,.01010468,.032021683,.069720767,.09568873,.043963473,.13890013,.045509651,.031648826,.032097608,.036460143,.057875417,.17364095,.030178858,.045897778,.014026533,.074288078,.015830019,.0086129885,.0087623047,.011852684,.030642834,.092977002
AM7,0,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,
