survey,country,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5,pct30_39,pct30_39_male,pct30_39_female,pct30_39_urban,pct30_39_rural,pct30_39_q1,pct30_39_q2,pct30_39_q3,pct30_39_q4,pct30_39_q5,pct40_49,pct40_49_male,pct40_49_female,pct40_49_urban,pct40_49_rural,pct40_49_q1,pct40_49_q2,pct40_49_q3,pct40_49_q4,pct40_49_q5
AF7,Afghanistan,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AF7,Afghanistan,1,.66836357,.81605005,.51186919,.83267075,.60760367,.59881353,.59214169,.57380259,.695086,.85596102,.46016732,.64202595,.28189489,.64604145,.39375383,.37120062,.36697987,.34694526,.47356257,.69312626,.29383305,.4675495,.11125035,.45364478,.24021645,.17486037,.20576833,.22755404,.34054974,.50189173,.25124541,.39761478,.099129319,.4267728,.19827956,.14230789,.16506857,.19570789,.30119187,.48054326
AF7,Afghanistan,2,.66649777,.81387043,.51033592,.83163631,.60543042,.59697556,.58882105,.57117409,.69417661,.85514385,.45804545,.63935786,.28030854,.64191121,.3923496,.37029746,.36564144,.34530449,.47172251,.68872964,.29189563,.46597314,.10893342,.45114887,.23846637,.1739755,.20452419,.22504239,.33747151,.49999943,.24922784,.39451352,.098237962,.42349863,.19664116,.14143902,.16180441,.1934659,.30079889,.47714975
AF7,Afghanistan,3,.65117985,.80078089,.49265677,.81410283,.59093189,.58129638,.56943327,.55801886,.68060964,.8403151,.44630852,.62358683,.2725262,.62935686,.3809047,.36064279,.35492027,.3349117,.45494428,.67776334,.28016099,.44810256,.10364788,.43827721,.22711319,.1670517,.1904057,.21620373,.32035425,.488787,.23739935,.37662816,.092704147,.41035089,.18521076,.13437819,.15064439,.18238354,.28110904,.46603838
AF7,Afghanistan,4,.62422061,.77494347,.46450874,.79235661,.56204492,.5457862,.53437972,.53307754,.65733826,.82325137,.42402396,.59900165,.25249681,.6057536,.35909131,.33702463,.33114025,.31581861,.42879376,.65845466,.25965124,.42191318,.089107618,.40807176,.20985632,.14857067,.17589478,.2024419,.28981996,.46432939,.21168122,.34103319,.077250615,.38346785,.15984413,.11169604,.12502734,.15803854,.25021237,.44031778
AF7,Afghanistan,5,.586797,.73416626,.4306387,.75040871,.52629429,.49824101,.50381666,.49563166,.62095231,.78810644,.39927676,.57007027,.23185129,.57637286,.3359997,.31077373,.31069794,.29462746,.39895865,.63270736,.23331653,.37987801,.079274699,.37726274,.18502273,.13052538,.15187417,.18617225,.2508412,.43136138,.18642934,.303581,.064678073,.34896743,.13738303,.093853317,.11025927,.12943079,.21436469,.40942922
AF7,Afghanistan,6,.54084229,.68229502,.39095336,.71508408,.47640872,.43599865,.4578943,.43763208,.58653289,.75691545,.37427598,.53846091,.21332885,.54503125,.31326455,.28339136,.28566459,.27566969,.3771508,.60168409,.21365637,.35017589,.070168987,.34974214,.16799973,.11333313,.13244048,.17183661,.23034532,.40509427,.16662821,.27328682,.055781983,.32577479,.11860529,.082672492,.088969275,.11226384,.19199835,.38086104
AF7,Afghanistan,7,.46336845,.5879845,.33132035,.64848828,.39491224,.33937481,.37855724,.36083278,.51217449,.69518888,.33538261,.48705769,.18669865,.50707126,.27403766,.23322141,.24680889,.24452978,.33820489,.56511295,.18005422,.29625481,.057922833,.31457192,.13492368,.084314369,.10147473,.12925759,.19885059,.37109339,.13913864,.22889361,.045859713,.29026932,.093534537,.06132241,.061254174,.085488878,.16223405,.34794402
AF7,Afghanistan,8,.38368347,.48544174,.27585647,.55266804,.32119402,.25938126,.30060929,.28774187,.43309763,.60806108,.30994314,.45171288,.17096916,.47400576,.25132298,.20984884,.2225982,.22132815,.31569937,.53254265,.16299392,.26890829,.051673755,.29071659,.1201431,.070487686,.084892496,.11966535,.17476578,.3506166,.12750822,.20958491,.042209078,.27051231,.08435636,.053276278,.054100167,.074360557,.15154175,.32590559
AF7,Afghanistan,9,.2905018,.36162198,.21514009,.43324864,.23771492,.18928772,.21392319,.21391788,.32814285,.48210305,.28083035,.40980291,.15440115,.444157,.22247316,.18216066,.18711366,.19655283,.28440201,.50587779,.14045916,.23236719,.043860227,.25272474,.10279416,.061319169,.070281975,.098317154,.14744663,.31197193,.10835713,.17518976,.038900543,.2451282,.067086101,.037251905,.041442145,.061281752,.12597886,.29596412
AF7,Afghanistan,10,.20318243,.24392822,.16000655,.3235842,.15865861,.11931211,.14050144,.14515236,.22622879,.36395758,.25122359,.3649807,.13970986,.41029453,.194387,.14919207,.16128048,.17274655,.25670224,.46915793,.12255099,.20324403,.037739426,.22549579,.088013098,.053718634,.057765581,.08181002,.12474065,.28297088,.094473906,.15137166,.035342272,.22258061,.055817373,.029710976,.033268146,.046413101,.10948259,.27228451
AF7,Afghanistan,11,.12561373,.14544532,.10459938,.2155496,.092356041,.069395691,.079146959,.083699495,.13940811,.24137877,.22344361,.32288268,.12596552,.37729049,.16847357,.1268976,.13579009,.14710236,.22544341,.43635419,.10696525,.1784237,.031859614,.20487447,.074116796,.04279241,.047444895,.067448668,.10909054,.25703442,.083290264,.13311215,.031512327,.19893542,.04839405,.025307994,.027706308,.039233096,.097567543,.24360564
AF7,Afghanistan,12,.070215955,.07309375,.06716647,.13766398,.045274138,.031654269,.03695957,.041430976,.080617771,.15002529,.19591218,.27933839,.11413119,.33957621,.14458053,.098257817,.11226726,.12318742,.20343594,.39842713,.09994413,.16699082,.029475424,.18901676,.070060328,.040990766,.045529906,.063647784,.099436551,.23998481,.079377525,.127023,.029861465,.18873444,.04637881,.023652894,.026536202,.037599679,.092751406,.23256725
AF7,Afghanistan,13,.0115493,.011618055,.011476379,.027763931,.0055533061,.0032637836,.0047864765,.0049599321,.01010468,.032021683,.07350345,.099362463,.048154421,.14462064,.04809304,.033005308,.034589041,.039760809,.059768733,.17882234,.039032664,.061417632,.01550515,.09204334,.02124759,.012385026,.013491601,.017802836,.038276691,.10825949,.031537134,.047419697,.015031059,.081550486,.01644551,.0087469295,.0095206862,.011934368,.032971188,.10135014
AM7,Armenia,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AM7,Armenia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.99785101,.99639815,1,1,.99662173,1,.99677032,1,1,1,1,1,1,1,1,1,1,1,1,1
AM7,Armenia,2,1,1,1,1,1,1,1,1,1,1,.99824506,.99796951,1,1,.9975093,.99929172,.99730361,1,1,1,.99765468,.99599272,.99921483,.99862272,.99611259,.99282855,,1,1,1,1,1,1,1,1,1,1,1,1,1
AM7,Armenia,3,1,1,1,1,1,1,1,1,1,1,.99702442,,.99850804,1,.99476767,.99473751,,1,1,1,.99720412,.99585712,,.99851578,.99511462,.99062222,,1,1,1,.99780864,.99877298,1,1,.99707222,.9932698,1,1,1,1
AM7,Armenia,4,1,1,1,1,1,1,1,1,1,1,.9963454,.99546963,.997181,.99883568,.9932425,.99117994,.995736,1,1,1,.99657124,.99454999,.9984687,,.99418396,.98699403,.99576271,1,1,1,,,1,1,,,1,1,1,1
AM7,Armenia,5,.99736387,.99553108,.99914026,.99782562,.99679232,1,1,.99623507,1,1,.99549735,.99475002,.99621034,,.99209464,.98941457,.99345577,1,1,1,.99603552,.99380481,.99812955,.99806982,.99279475,.98492563,,.99963659,1,1,,,1,1,,,1,1,1,1
AM7,Armenia,6,.99499512,.99356103,,,.99462253,.99511576,1,,1,1,.99391407,.993604,,,.98853874,.98475701,,1,1,1,.99537241,.99359143,.99704421,,.9913432,.98171645,,,1,1,.99731404,.99771714,.99695903,1,.99590141,.99057829,1,1,1,1
AM7,Armenia,7,.99402547,.99159098,.99638516,.99529612,.9924528,.99023145,.99256438,.98848349,1,.99794722,.99342495,.99260229,,,.98744017,.98219448,,1,1,1,.99463761,.9927966,.99636585,.99790168,.989438,.97750443,.99486482,.9990648,1,1,.99641907,.99680066,,1,.99378252,,.99799109,1,1,1
AM7,Armenia,8,.9883877,.98117602,.99537796,.99110997,.98501861,.98426503,.98576516,.98201537,.9977833,.99115831,.99309552,.99192762,.99420989,.99822825,.9867003,.98046869,.99035865,.99723446,.9985202,.9990021,.99125028,.98833889,.99398339,.99691635,.98222417,.96539837,.9911136,.99605072,.99902248,.99970943,.99599439,.99589401,.99608296,.99834716,.99277711,.98804355,.99600351,1,.99543262,1
AM7,Armenia,9,.91508138,.89378005,.93572819,.92659712,.90082908,.90310234,.89687961,.89806223,.93679011,.93739188,.93612713,.90531373,.96553087,.97027129,.89358491,.83237851,.9350912,.95426881,,.98123962,.91757685,.88443124,.94869292,.9530068,.86113626,.78977799,.89666778,.92211348,.96688873,.98035479,.93633825,.92135024,.94954342,.9714573,.88831043,.82245564,.93331224,.96229661,.96235436,.99063587
AM7,Armenia,10,.76109731,.73022836,.79101783,.79507577,.71904403,.6830914,.74953485,.71272236,.80210483,.84676766,.93004781,.89713657,.96145338,.9681766,.8825407,.80942154,.93286186,.95063972,.97499901,.97851062,.91255909,.88005513,.94307274,.94924486,.85411799,.77947605,.89235073,.91680497,.96572524,.97559303,.934035,.91857815,.94765329,.97003937,.88479662,.81847733,.93072605,.95867413,.96175694,.98955601
