survey,country,var,var_num,edyears,pct15_19,pct20_29,pct30_39,pct40_49
AF7,Afghanistan,all,all,0,1,1,1,1
AF7,Afghanistan,all,all,1,.66836357,.46016732,.29383305,.25124541
AF7,Afghanistan,all,all,2,.66649777,.45804545,.29189563,.24922784
AF7,Afghanistan,all,all,3,.65117985,.44630852,.28016099,.23739935
AF7,Afghanistan,all,all,4,.62422061,.42402396,.25965124,.21168122
AF7,Afghanistan,all,all,5,.586797,.39927676,.23331653,.18642934
AF7,Afghanistan,all,all,6,.54084229,.37427598,.21365637,.16662821
AF7,Afghanistan,all,all,7,.46336845,.33538261,.18005422,.13913864
AF7,Afghanistan,all,all,8,.38368347,.30994314,.16299392,.12750822
AF7,Afghanistan,all,all,9,.2905018,.28083035,.14045916,.10835713
AF7,Afghanistan,all,all,10,.20318243,.25122359,.12255099,.094473906
AF7,Afghanistan,all,all,11,.12561373,.22344361,.10696525,.083290264
AF7,Afghanistan,all,all,12,.070215955,.19591218,.09994413,.079377525
AF7,Afghanistan,all,all,13,.0115493,.07350345,.039032664,.031537134
AF7,Afghanistan,female,female,0,1,1,1,1
AF7,Afghanistan,female,female,1,.51186919,.28189489,.11125035,.099129319
AF7,Afghanistan,female,female,2,.51033592,.28030854,.10893342,.098237962
AF7,Afghanistan,female,female,3,.49265677,.2725262,.10364788,.092704147
AF7,Afghanistan,female,female,4,.46450874,.25249681,.089107618,.077250615
AF7,Afghanistan,female,female,5,.4306387,.23185129,.079274699,.064678073
AF7,Afghanistan,female,female,6,.39095336,.21332885,.070168987,.055781983
AF7,Afghanistan,female,female,7,.33132035,.18669865,.057922833,.045859713
AF7,Afghanistan,female,female,8,.27585647,.17096916,.051673755,.042209078
AF7,Afghanistan,female,female,9,.21514009,.15440115,.043860227,.038900543
AF7,Afghanistan,female,female,10,.16000655,.13970986,.037739426,.035342272
AF7,Afghanistan,female,female,11,.10459938,.12596552,.031859614,.031512327
AF7,Afghanistan,female,female,12,.06716647,.11413119,.029475424,.029861465
AF7,Afghanistan,female,female,13,.011476379,.048154421,.01550515,.015031059
AF7,Afghanistan,male,male,0,1,1,1,1
AF7,Afghanistan,male,male,1,.81605005,.64202595,.4675495,.39761478
AF7,Afghanistan,male,male,2,.81387043,.63935786,.46597314,.39451352
AF7,Afghanistan,male,male,3,.80078089,.62358683,.44810256,.37662816
AF7,Afghanistan,male,male,4,.77494347,.59900165,.42191318,.34103319
AF7,Afghanistan,male,male,5,.73416626,.57007027,.37987801,.303581
AF7,Afghanistan,male,male,6,.68229502,.53846091,.35017589,.27328682
AF7,Afghanistan,male,male,7,.5879845,.48705769,.29625481,.22889361
AF7,Afghanistan,male,male,8,.48544174,.45171288,.26890829,.20958491
AF7,Afghanistan,male,male,9,.36162198,.40980291,.23236719,.17518976
AF7,Afghanistan,male,male,10,.24392822,.3649807,.20324403,.15137166
AF7,Afghanistan,male,male,11,.14544532,.32288268,.1784237,.13311215
AF7,Afghanistan,male,male,12,.07309375,.27933839,.16699082,.127023
AF7,Afghanistan,male,male,13,.011618055,.099362463,.061417632,.047419697
AF7,Afghanistan,q1,q1,0,1,1,1,1
AF7,Afghanistan,q1,q1,1,.59881353,.37120062,.17486037,.14230789
AF7,Afghanistan,q1,q1,2,.59697556,.37029746,.1739755,.14143902
AF7,Afghanistan,q1,q1,3,.58129638,.36064279,.1670517,.13437819
AF7,Afghanistan,q1,q1,4,.5457862,.33702463,.14857067,.11169604
AF7,Afghanistan,q1,q1,5,.49824101,.31077373,.13052538,.093853317
AF7,Afghanistan,q1,q1,6,.43599865,.28339136,.11333313,.082672492
AF7,Afghanistan,q1,q1,7,.33937481,.23322141,.084314369,.06132241
AF7,Afghanistan,q1,q1,8,.25938126,.20984884,.070487686,.053276278
AF7,Afghanistan,q1,q1,9,.18928772,.18216066,.061319169,.037251905
AF7,Afghanistan,q1,q1,10,.11931211,.14919207,.053718634,.029710976
AF7,Afghanistan,q1,q1,11,.069395691,.1268976,.04279241,.025307994
AF7,Afghanistan,q1,q1,12,.031654269,.098257817,.040990766,.023652894
AF7,Afghanistan,q1,q1,13,.0032637836,.033005308,.012385026,.0087469295
AF7,Afghanistan,q2,q2,0,1,1,1,1
AF7,Afghanistan,q2,q2,1,.59214169,.36697987,.20576833,.16506857
AF7,Afghanistan,q2,q2,2,.58882105,.36564144,.20452419,.16180441
AF7,Afghanistan,q2,q2,3,.56943327,.35492027,.1904057,.15064439
AF7,Afghanistan,q2,q2,4,.53437972,.33114025,.17589478,.12502734
AF7,Afghanistan,q2,q2,5,.50381666,.31069794,.15187417,.11025927
AF7,Afghanistan,q2,q2,6,.4578943,.28566459,.13244048,.088969275
AF7,Afghanistan,q2,q2,7,.37855724,.24680889,.10147473,.061254174
AF7,Afghanistan,q2,q2,8,.30060929,.2225982,.084892496,.054100167
AF7,Afghanistan,q2,q2,9,.21392319,.18711366,.070281975,.041442145
AF7,Afghanistan,q2,q2,10,.14050144,.16128048,.057765581,.033268146
AF7,Afghanistan,q2,q2,11,.079146959,.13579009,.047444895,.027706308
AF7,Afghanistan,q2,q2,12,.03695957,.11226726,.045529906,.026536202
AF7,Afghanistan,q2,q2,13,.0047864765,.034589041,.013491601,.0095206862
AF7,Afghanistan,q3,q3,0,1,1,1,1
AF7,Afghanistan,q3,q3,1,.57380259,.34694526,.22755404,.19570789
AF7,Afghanistan,q3,q3,2,.57117409,.34530449,.22504239,.1934659
AF7,Afghanistan,q3,q3,3,.55801886,.3349117,.21620373,.18238354
AF7,Afghanistan,q3,q3,4,.53307754,.31581861,.2024419,.15803854
AF7,Afghanistan,q3,q3,5,.49563166,.29462746,.18617225,.12943079
AF7,Afghanistan,q3,q3,6,.43763208,.27566969,.17183661,.11226384
AF7,Afghanistan,q3,q3,7,.36083278,.24452978,.12925759,.085488878
AF7,Afghanistan,q3,q3,8,.28774187,.22132815,.11966535,.074360557
AF7,Afghanistan,q3,q3,9,.21391788,.19655283,.098317154,.061281752
AF7,Afghanistan,q3,q3,10,.14515236,.17274655,.08181002,.046413101
AF7,Afghanistan,q3,q3,11,.083699495,.14710236,.067448668,.039233096
AF7,Afghanistan,q3,q3,12,.041430976,.12318742,.063647784,.037599679
AF7,Afghanistan,q3,q3,13,.0049599321,.039760809,.017802836,.011934368
AF7,Afghanistan,q4,q4,0,1,1,1,1
AF7,Afghanistan,q4,q4,1,.695086,.47356257,.34054974,.30119187
AF7,Afghanistan,q4,q4,2,.69417661,.47172251,.33747151,.30079889
AF7,Afghanistan,q4,q4,3,.68060964,.45494428,.32035425,.28110904
AF7,Afghanistan,q4,q4,4,.65733826,.42879376,.28981996,.25021237
AF7,Afghanistan,q4,q4,5,.62095231,.39895865,.2508412,.21436469
AF7,Afghanistan,q4,q4,6,.58653289,.3771508,.23034532,.19199835
AF7,Afghanistan,q4,q4,7,.51217449,.33820489,.19885059,.16223405
AF7,Afghanistan,q4,q4,8,.43309763,.31569937,.17476578,.15154175
AF7,Afghanistan,q4,q4,9,.32814285,.28440201,.14744663,.12597886
AF7,Afghanistan,q4,q4,10,.22622879,.25670224,.12474065,.10948259
AF7,Afghanistan,q4,q4,11,.13940811,.22544341,.10909054,.097567543
AF7,Afghanistan,q4,q4,12,.080617771,.20343594,.099436551,.092751406
AF7,Afghanistan,q4,q4,13,.01010468,.059768733,.038276691,.032971188
AF7,Afghanistan,q5,q5,0,1,1,1,1
AF7,Afghanistan,q5,q5,1,.85596102,.69312626,.50189173,.48054326
AF7,Afghanistan,q5,q5,2,.85514385,.68872964,.49999943,.47714975
AF7,Afghanistan,q5,q5,3,.8403151,.67776334,.488787,.46603838
AF7,Afghanistan,q5,q5,4,.82325137,.65845466,.46432939,.44031778
AF7,Afghanistan,q5,q5,5,.78810644,.63270736,.43136138,.40942922
AF7,Afghanistan,q5,q5,6,.75691545,.60168409,.40509427,.38086104
AF7,Afghanistan,q5,q5,7,.69518888,.56511295,.37109339,.34794402
AF7,Afghanistan,q5,q5,8,.60806108,.53254265,.3506166,.32590559
AF7,Afghanistan,q5,q5,9,.48210305,.50587779,.31197193,.29596412
AF7,Afghanistan,q5,q5,10,.36395758,.46915793,.28297088,.27228451
AF7,Afghanistan,q5,q5,11,.24137877,.43635419,.25703442,.24360564
AF7,Afghanistan,q5,q5,12,.15002529,.39842713,.23998481,.23256725
AF7,Afghanistan,q5,q5,13,.032021683,.17882234,.10825949,.10135014
AF7,Afghanistan,rural,rural,0,1,1,1,1
AF7,Afghanistan,rural,rural,1,.60760367,.39375383,.24021645,.19827956
AF7,Afghanistan,rural,rural,2,.60543042,.3923496,.23846637,.19664116
AF7,Afghanistan,rural,rural,3,.59093189,.3809047,.22711319,.18521076
AF7,Afghanistan,rural,rural,4,.56204492,.35909131,.20985632,.15984413
AF7,Afghanistan,rural,rural,5,.52629429,.3359997,.18502273,.13738303
AF7,Afghanistan,rural,rural,6,.47640872,.31326455,.16799973,.11860529
AF7,Afghanistan,rural,rural,7,.39491224,.27403766,.13492368,.093534537
AF7,Afghanistan,rural,rural,8,.32119402,.25132298,.1201431,.08435636
AF7,Afghanistan,rural,rural,9,.23771492,.22247316,.10279416,.067086101
AF7,Afghanistan,rural,rural,10,.15865861,.194387,.088013098,.055817373
AF7,Afghanistan,rural,rural,11,.092356041,.16847357,.074116796,.04839405
AF7,Afghanistan,rural,rural,12,.045274138,.14458053,.070060328,.04637881
AF7,Afghanistan,rural,rural,13,.0055533061,.04809304,.02124759,.01644551
AF7,Afghanistan,urban,urban,0,1,1,1,1
AF7,Afghanistan,urban,urban,1,.83267075,.64604145,.45364478,.4267728
AF7,Afghanistan,urban,urban,2,.83163631,.64191121,.45114887,.42349863
AF7,Afghanistan,urban,urban,3,.81410283,.62935686,.43827721,.41035089
AF7,Afghanistan,urban,urban,4,.79235661,.6057536,.40807176,.38346785
AF7,Afghanistan,urban,urban,5,.75040871,.57637286,.37726274,.34896743
AF7,Afghanistan,urban,urban,6,.71508408,.54503125,.34974214,.32577479
AF7,Afghanistan,urban,urban,7,.64848828,.50707126,.31457192,.29026932
AF7,Afghanistan,urban,urban,8,.55266804,.47400576,.29071659,.27051231
AF7,Afghanistan,urban,urban,9,.43324864,.444157,.25272474,.2451282
AF7,Afghanistan,urban,urban,10,.3235842,.41029453,.22549579,.22258061
AF7,Afghanistan,urban,urban,11,.2155496,.37729049,.20487447,.19893542
AF7,Afghanistan,urban,urban,12,.13766398,.33957621,.18901676,.18873444
AF7,Afghanistan,urban,urban,13,.027763931,.14462064,.09204334,.081550486
AM7,Armenia,all,all,0,1,1,1,1
AM7,Armenia,all,all,1,1,1,.99785101,1
AM7,Armenia,all,all,2,1,.99824506,.99765468,1
AM7,Armenia,all,all,3,1,.99702442,.99720412,.99780864
AM7,Armenia,all,all,4,1,.9963454,.99657124,
AM7,Armenia,all,all,5,.99736387,.99549735,.99603552,
AM7,Armenia,all,all,6,.99499512,.99391407,.99537241,.99731404
AM7,Armenia,all,all,7,.99402547,.99342495,.99463761,.99641907
AM7,Armenia,all,all,8,.9883877,.99309552,.99125028,.99599439
AM7,Armenia,all,all,9,.91508138,.93612713,.91757685,.93633825
AM7,Armenia,all,all,10,.76109731,.93004781,.91255909,.934035
AM7,Armenia,all,all,11,.54096729,.60396278,.45959669,.49235207
AM7,Armenia,all,all,12,.32660878,.56039691,.45012143,.47284883
AM7,Armenia,all,all,13,.080467813,.46293288,.39865991,.39204887
AM7,Armenia,all,all,14,.016224286,.3449285,.29103133,.23960111
AM7,Armenia,all,all,15,.00080003322,.18543527,.21312058,.20164196
AM7,Armenia,all,all,16,,.062644087,.045912724,.027654398
AM7,Armenia,all,all,17,,.012923797,.022988366,.019128241
AM7,Armenia,all,all,18,,.0043925866,.013023836,.0086602494
AM7,Armenia,all,all,19,,.002031835,.0074106045,.0038356173
AM7,Armenia,all,all,20,,.00034619871,.0050788927,.0023960634
AM7,Armenia,all,all,21,,,.0013415555,.00032967125
AM7,Armenia,all,all,22,,,.00064007152,
AM7,Armenia,all,all,24,,,.00026716737,
AM7,Armenia,female,female,0,1,1,1,1
AM7,Armenia,female,female,1,1,1,1,1
AM7,Armenia,female,female,2,1,1,.99921483,1
AM7,Armenia,female,female,3,1,.99850804,,1
AM7,Armenia,female,female,4,1,.997181,.9984687,1
AM7,Armenia,female,female,5,.99914026,.99621034,.99812955,1
AM7,Armenia,female,female,6,,,.99704421,.99695903
AM7,Armenia,female,female,7,.99638516,,.99636585,
AM7,Armenia,female,female,8,.99537796,.99420989,.99398339,.99608296
AM7,Armenia,female,female,9,.93572819,.96553087,.94869292,.94954342
AM7,Armenia,female,female,10,.79101783,.96145338,.94307274,.94765329
AM7,Armenia,female,female,11,.55710912,.68287551,.51483142,.53293806
