survey,country,edyears,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5
AF7,Afghanistan,0,1,1,1,1,1,1,1,1,1,1
AF7,Afghanistan,1,0.46016732,0.64202595,0.28189489,0.64604145,0.39375383,0.37120062,0.36697987,0.34694526,0.47356257,0.69312626
AF7,Afghanistan,2,0.45804545,0.63935786,0.28030854,0.64191121,0.3923496,0.37029746,0.36564144,0.34530449,0.47172251,0.68872964
AF7,Afghanistan,3,0.44630852,0.62358683,0.2725262,0.62935686,0.3809047,0.36064279,0.35492027,0.3349117,0.45494428,0.67776334
AF7,Afghanistan,4,0.42402396,0.59900165,0.25249681,0.6057536,0.35909131,0.33702463,0.33114025,0.31581861,0.42879376,0.65845466
AF7,Afghanistan,5,0.39927676,0.57007027,0.23185129,0.57637286,0.3359997,0.31077373,0.31069794,0.29462746,0.39895865,0.63270736
AF7,Afghanistan,6,0.37427598,0.53846091,0.21332885,0.54503125,0.31326455,0.28339136,0.28566459,0.27566969,0.3771508,0.60168409
AF7,Afghanistan,7,0.33538261,0.48705769,0.18669865,0.50707126,0.27403766,0.23322141,0.24680889,0.24452978,0.33820489,0.56511295
AF7,Afghanistan,8,0.30994314,0.45171288,0.17096916,0.47400576,0.25132298,0.20984884,0.2225982,0.22132815,0.31569937,0.53254265
AF7,Afghanistan,9,0.28083035,0.40980291,0.15440115,0.444157,0.22247316,0.18216066,0.18711366,0.19655283,0.28440201,0.50587779
AF7,Afghanistan,10,0.25122359,0.3649807,0.13970986,0.41029453,0.194387,0.14919207,0.16128048,0.17274655,0.25670224,0.46915793
AF7,Afghanistan,11,0.22344361,0.32288268,0.12596552,0.37729049,0.16847357,0.1268976,0.13579009,0.14710236,0.22544341,0.43635419
AF7,Afghanistan,12,0.19591218,0.27933839,0.11413119,0.33957621,0.14458053,0.098257817,0.11226726,0.12318742,0.20343594,0.39842713
AM7,Armenia,0,1,1,1,1,1,1,1,1,1,1
AM7,Armenia,1,1,1,1,1,1,1,1,1,1,1
AM7,Armenia,2,0.99824506,0.99796951,1,1,0.9975093,0.99929172,0.99730361,1,1,1
AM7,Armenia,3,0.99702442,0.99671957,0.99850804,1,0.99476767,0.99473751,0.996519805,1,1,1
AM7,Armenia,4,0.9963454,0.99546963,0.997181,0.99883568,0.9932425,0.99117994,0.995736,1,1,1
AM7,Armenia,5,0.99549735,0.99475002,0.99621034,0.99883568,0.99209464,0.98941457,0.99345577,1,1,1
AM7,Armenia,6,0.99391407,0.993604,0.99883568,0.99883568,0.98853874,0.98475701,0.99345577,1,1,1
AM7,Armenia,7,0.99342495,0.99260229,0.99420989,0.99883568,0.98744017,0.98219448,0.99883568,1,1,1
AM7,Armenia,8,0.99309552,0.99192762,0.99420989,0.99822825,0.9867003,0.98046869,0.99035865,0.99723446,0.9985202,0.9990021
AM7,Armenia,9,0.93612713,0.90531373,0.96553087,0.97027129,0.89358491,0.83237851,0.9350912,0.95426881,0.986759605,0.98123962
AM7,Armenia,10,0.93004781,0.89713657,0.96145338,0.9681766,0.8825407,0.80942154,0.93286186,0.95063972,0.97499901,0.97851062
AM7,Armenia,11,0.60396278,0.521267,0.68287551,0.73084289,0.44587499,0.32050404,0.54796612,0.60279536,0.73676234,0.81109005
AM7,Armenia,12,0.56039691,0.46176341,0.65451831,0.69714934,0.39000857,0.28138056,0.48508525,0.55852669,0.69809312,0.78121448
AO7,Angola,0,1,1,1,1,1,1,1,1,1,1
AO7,Angola,1,0.85393929,0.91705751,0.80544406,0.92611986,0.67212999,0.61875302,0.70219767,0.88206297,0.9492836,0.98175937
AO7,Angola,2,0.84112179,0.91107625,0.7873742,0.92038226,0.64147973,0.57556617,0.68169403,0.87260854,0.94452965,0.98133659
AO7,Angola,3,0.81127334,0.89501023,0.74693626,0.90497071,0.5752672,0.50685066,0.61886513,0.84614807,0.92921877,0.98014617
AO7,Angola,4,0.7666111,0.86318141,0.69241375,0.88021576,0.48046243,0.41024446,0.528175,0.80237216,0.90696108,0.97539586
AO7,Angola,5,0.70502341,0.80965185,0.6246348,0.83602548,0.37505391,0.30055207,0.41830304,0.72542048,0.86972332,0.96454012
AO7,Angola,6,0.64374077,0.75409079,0.55895609,0.78628045,0.28471014,0.22075139,0.31780967,0.63860279,0.82493711,0.94642371
AO7,Angola,7,0.57180929,0.68059403,0.48822728,0.7165274,0.20729159,0.14363113,0.2279081,0.53529948,0.7486195,0.91914785
AO7,Angola,8,0.49747473,0.60499805,0.41486192,0.63454223,0.15222752,0.096131258,0.16265382,0.41008997,0.64565361,0.89056128
AO7,Angola,9,0.42016459,0.51527953,0.34708545,0.54388428,0.10853793,0.061633334,0.10475527,0.29514834,0.53901726,0.83278728
AO7,Angola,10,0.33237246,0.40734687,0.27476782,0.43673101,0.069512963,0.041796613,0.053182758,0.19999771,0.3999331,0.73405534
AO7,Angola,11,0.26465544,0.32115644,0.22124441,0.35222098,0.044094402,0.021871788,0.030351182,0.12332693,0.29043189,0.65356147
AO7,Angola,12,0.21381624,0.26170254,0.1770241,0.28722957,0.028901976,0.013248032,0.018671699,0.080889143,0.21396466,0.56836516
BD6,Bangladesh,0,1,1,1,1,1,1,1,1,1,1
BD6,Bangladesh,1,0.88192421,0.87946188,0.88368815,0.90937817,0.86998224,0.70804298,0.86255097,0.90699941,0.92976701,0.95905274
BD6,Bangladesh,2,0.86948729,0.86355144,0.87373972,0.89830279,0.85695308,0.68719906,0.84421813,0.89429408,0.92040771,0.95486641
BD6,Bangladesh,3,0.83520043,0.82297033,0.84396213,0.87443167,0.81813562,0.60650361,0.80393529,0.86842602,0.89751089,0.9416638
BD6,Bangladesh,4,0.79670894,0.78289127,0.80660796,0.84707695,0.77479982,0.52710634,0.74579865,0.8349607,0.8788538,0.92596626
BD6,Bangladesh,5,0.73127073,0.71495956,0.74295604,0.79221499,0.70476109,0.42474186,0.65609938,0.76314527,0.82933694,0.89762151
BD6,Bangladesh,6,0.59116632,0.56191564,0.61212152,0.66553241,0.55881846,0.24870855,0.46588984,0.60767317,0.70454091,0.82292825
BD6,Bangladesh,7,0.5297336,0.51101589,0.54314309,0.60855061,0.49544969,0.19905935,0.38380823,0.53017324,0.64272505,0.78350818
BD6,Bangladesh,8,0.4627794,0.4562768,0.46743789,0.54535246,0.42686164,0.14770794,0.30704233,0.44656584,0.57141328,0.73134357
BD6,Bangladesh,9,0.37133396,0.37158298,0.37115559,0.45972732,0.33288449,0.094943605,0.21838127,0.34788126,0.44815522,0.64565217
BD6,Bangladesh,10,0.25145689,0.28198937,0.2295834,0.35274404,0.20739886,0.050287925,0.1177295,0.19977649,0.29291117,0.51268119
BD6,Bangladesh,11,0.16038197,0.19016577,0.13904485,0.24326582,0.12432904,0.027595455,0.060212389,0.10731679,0.18350382,0.3627072
BD6,Bangladesh,12,0.15719825,0.18573633,0.13675359,0.23903392,0.12160127,0.026657311,0.058747943,0.10224327,0.18176551,0.35671946
BF6,Burkina Faso,0,1,1,1,1,1,1,1,1,1,1
BF6,Burkina Faso,1,0.36037177,0.46426976,0.28666404,0.70758319,0.1969423,0.11522282,0.1619266,0.19529629,0.31723547,0.73277515
BF6,Burkina Faso,2,0.35037732,0.45313579,0.27747804,0.70054942,0.18555431,0.11004988,0.15154789,0.18167488,0.30356511,0.72543639
BF6,Burkina Faso,3,0.32901368,0.4288964,0.25815454,0.67465889,0.16632144,0.094518103,0.13269617,0.15894891,0.28410327,0.69933283
BF6,Burkina Faso,4,0.301397,0.39456007,0.23530494,0.63750809,0.14319238,0.074925728,0.11127899,0.13145338,0.25159422,0.667225
BF6,Burkina Faso,5,0.27768266,0.36339623,0.21687543,0.59952861,0.12619255,0.061469845,0.095554158,0.11458931,0.22501935,0.6312511
BF6,Burkina Faso,6,0.22552055,0.30455464,0.16945194,0.52448601,0.084800079,0.038123269,0.059707213,0.072959714,0.15993938,0.55716199
BF6,Burkina Faso,7,0.17827226,0.24134961,0.1335237,0.43478724,0.057532854,0.021654978,0.036096424,0.045263465,0.10481513,0.47349927
BF6,Burkina Faso,8,0.15968212,0.22062436,0.11644826,0.40047327,0.046343781,0.015961118,0.026995787,0.034273297,0.087779574,0.43706164
BF6,Burkina Faso,9,0.13830808,0.19310249,0.099435635,0.35562041,0.036021031,0.012578661,0.02100309,0.026719712,0.065419175,0.38953015
BF6,Burkina Faso,10,0.094099835,0.13867353,0.062478207,0.25105253,0.020223545,0.004943925,0.007888589,0.012679106,0.032968365,0.28181976
BF6,Burkina Faso,11,0.072832152,0.11052923,0.04608896,0.19939351,0.0132608,0.002237111,0.005078992,0.008579338,0.020392921,0.22369578
BF6,Burkina Faso,12,0.057771754,0.088716194,0.035819039,0.16264674,0.008407985,0.000899018,0.003124261,0.006424681,0.011932148,0.18147022
BJ6,Benin,0,1,1,1,1,1,1,1,1,1,1
BJ6,Benin,1,0.53786111,0.70077103,0.42180628,0.69721061,0.38228205,0.20920449,0.32513142,0.43752992,0.64321542,0.83654457
BJ6,Benin,2,0.53043079,0.6907106,0.41624963,0.68865103,0.37595427,0.19924743,0.32034343,0.43011093,0.63412207,0.83019793
BJ6,Benin,3,0.50808382,0.66834646,0.39391488,0.6650216,0.35485935,0.17588858,0.30357167,0.40927044,0.60730523,0.80751914
BJ6,Benin,4,0.47129053,0.63027304,0.35803348,0.63044345,0.31590331,0.15036982,0.26673514,0.36095813,0.56483865,0.77702075
BJ6,Benin,5,0.43202856,0.58827877,0.32071796,0.58894962,0.2788204,0.11936794,0.22880247,0.31924787,0.51589316,0.74194336
BJ6,Benin,6,0.38365555,0.53340888,0.27697325,0.53557366,0.23533197,0.0966653,0.18084592,0.2621544,0.45716769,0.69352132
BJ6,Benin,7,0.33489907,0.47928113,0.23204319,0.48126978,0.19199164,0.07138218,0.14231235,0.22004411,0.3812401,0.64300942
BJ6,Benin,8,0.31173313,0.4512926,0.21231279,0.4548772,0.17197599,0.060356535,0.12876894,0.19298258,0.35126325,0.61527711
BJ6,Benin,9,0.28162661,0.41700089,0.18518776,0.41655955,0.14988631,0.053149417,0.11088391,0.16494985,0.31110117,0.57158303
BJ6,Benin,10,0.23253782,0.35513362,0.14520222,0.35193512,0.11596558,0.040414471,0.075567588,0.12517539,0.24317957,0.50271547
BJ6,Benin,11,0.17964682,0.283719,0.1055072,0.28823778,0.073625259,0.019856637,0.046270847,0.077007353,0.18171354,0.42080668
BJ6,Benin,12,0.15836297,0.25118703,0.092236355,0.26096043,0.058193058,0.012474935,0.033121035,0.058026981,0.14999031,0.39365742
BO5,Bolivia,0,1,1,1,1,1,1,1,1,1,1
BO5,Bolivia,1,0.98354572,0.99048346,0.97712117,0.99158829,0.96458113,0.9423151,0.97757173,0.99032593,0.99524039,0.99207181
