iso,countryname,region,incomegroup,avg13_literacy1524,avg13_pri_compt,avg13_pri_attain,avg13_pri_enroll,avg13_pri_teacher,avg13_sec_low_attain,avg13_sec_up_attain,avg13_sec_post_attain,avg13_sec_enroll,avg13_sec_teacher,avg13_bac_attain,avg13_mas_attain,avg13_doc_attain,avg13_ter_enroll,avg13_gov_edu
ABW,Aruba,Latin America & Caribbean,High income,99.412201,98.807404,,116.71303,,,,,,,,,,15.958344,6.4854951
AFG,Afghanistan,South Asia,Low income,58.1549,,,111.22888,,,,,55.99641,,,,,8.6627998,3.5264068
AGO,Angola,Sub-Saharan Africa,Lower middle income,72.939964,,,,,,,,,,,,,9.6157951,
ALB,Albania,Europe & Central Asia,Upper middle income,99.029198,102.90388,,111.32367,,,,,96.007713,,,,,61.121521,3.5394399
AND,Andorra,Europe & Central Asia,High income,,,96.494911,,100,72.6726,47.691307,32.550667,,100,,10.946175,,,2.90469
ARE,United Arab Emirates,Middle East & North Africa,High income,99.459671,102.81338,,108.01049,100,,,,,,,,,,
ARG,Argentina,Latin America & Caribbean,Upper middle income,99.29361,101.34251,,110.27744,,,,,106.55052,,,,,81.452042,5.3715897
ARM,Armenia,Europe & Central Asia,Lower middle income,99.845398,99.07164,99.455788,98.466621,,97.222458,91.837433,50.560638,88.502357,,27.31002,,.35095,43.958336,2.5692499
ASM,American Samoa,East Asia & Pacific,Upper middle income,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,,93.557625,,97.080139,67.729843,,,,102.51184,63.973045,,,,,
AUS,Australia,East Asia & Pacific,High income,,,100,104.95043,,91.736618,72.943512,42.006989,137.57315,,27.1581,6.0347066,1.0789534,88.430527,5.25559
AUT,Austria,Europe & Central Asia,High income,,99.445992,,102.25996,,98.923218,78.143036,28.462967,99.418175,,12.66702,10.744246,.95447505,80.641983,5.5311451
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,99.955154,96.498444,98.521942,104.38728,99.47226,95.6026,88.698486,30.04397,,,15.676603,,0,23.36112,2.54842
BDI,Burundi,Sub-Saharan Africa,Low income,87.617981,65.399719,10.93089,127.29229,96.075668,5.9290299,3.3253801,,37.549179,86.176865,.80549997,.15567,,4.6871152,5.41642
BEL,Belgium,Europe & Central Asia,High income,,88.944,93.991417,104.72242,,82.762131,64.836044,33.01656,164.90707,,31.072277,13.137573,.53843999,73.555069,6.6152802
BEN,Benin,Sub-Saharan Africa,Low income,52.54924,76.663246,,126.29749,68.345459,,,,55.113876,20.02656,,,,15.36278,4.4106431
BFA,Burkina Faso,Sub-Saharan Africa,Low income,51.30278,61.430599,,86.715088,85.121666,8.4883499,2.80549,0,30.789221,51.911926,0,0,0,4.7759099,4.4208965
BGD,Bangladesh,South Asia,Lower middle income,82.682388,94.974869,,120.58492,47.578999,,,,60.916893,58.03669,,,,13.4408,1.95726
BGR,Bulgaria,Europe & Central Asia,Upper middle income,98.000366,98.253502,,98.557198,,94.462265,74.221237,,99.591316,,,,,70.419388,4.0619702
BHR,Bahrain,Middle East & North Africa,High income,99.771881,96.583893,,99.49485,82.481194,,,,99.218208,83.147911,,,,41.366108,2.5374768
BHS,"Bahamas, The",Latin America & Caribbean,High income,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,99.65757,,78.959412,,,,60.201729,11.38646,,,7.6872649,.82449001,.32442501,,
BLR,Belarus,Europe & Central Asia,Upper middle income,99.840187,97.957985,,99.370102,99.484253,,,,106.79308,95.852829,,,,89.275848,5.0383067
BLZ,Belize,Latin America & Caribbean,Upper middle income,88.605812,102.74725,,112.30005,59.009968,,,,80.277504,42.41745,,,,23.737576,6.3215647
BMU,Bermuda,North America,High income,,83.14978,,88.091972,87.7836,,,,72.804489,89.299362,,,,27.107344,1.7435751
BOL,Bolivia,Latin America & Caribbean,Lower middle income,99.040489,92.960526,,97.712944,57.374348,,,,85.486397,57.542339,,,,,6.7695704
BRA,Brazil,Latin America & Caribbean,Upper middle income,98.834534,,76.509972,112.05839,,56.087509,42.207523,,101.15665,,,,,48.777111,5.9939499
BRB,Barbados,Latin America & Caribbean,High income,,95.548027,,93.627281,100,,,,109.24757,,,,,,6.0262747
BRN,Brunei Darussalam,East Asia & Pacific,High income,99.604927,103.34895,,107.67789,84.982986,,,,99.847313,89.936935,,,,28.951929,3.3531899
BTN,Bhutan,South Asia,Lower middle income,92.04084,97.359116,,103.48736,,,,,80.717392,,,,,10.92693,6.2919836
BWA,Botswana,Sub-Saharan Africa,Upper middle income,97.746574,99.660156,,108.10144,98.636513,,,,,,,,,26.283485,
CAF,Central African Republic,Sub-Saharan Africa,Low income,36.35627,,,,,,,,,,,,,,
CAN,Canada,North America,High income,,,,100.57231,,,,,109.93155,,,,,,
CHE,Switzerland,Europe & Central Asia,High income,,95.854919,,103.50026,,97.057297,84.916931,,99.863892,,36.277153,18.604645,2.9372902,57.070915,5.0808897
CHI,Channel Islands,Europe & Central Asia,High income,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean,High income,99.08255,95.983269,85.633636,100.78598,,76.16494,54.061871,,100.5028,,12.26989,1.03303,,86.341476,4.7439203
CHN,China,East Asia & Pacific,Upper middle income,99.728859,97.702515,,105.59268,,,,,94.95768,,,,,37.648075,
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,50.237579,58.300713,,89.928192,89.250771,21.11994,11.25306,5.3077402,41.999947,100,2.8029699,1.80395,.26666,8.8177261,4.8355536
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,83.797371,73.029739,,115.34205,58.06543,,,,55.603664,50.812786,,,,16.180754,3.0299001
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,86.068443,66.767487,56.787891,104.93784,94.623528,42.453571,19.84704,,42.249443,22.592251,1.7356,,,6.6407599,2.2453499
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,80.913948,,,,,,,,,,,,,9.7187996,
COL,Colombia,Latin America & Caribbean,Upper middle income,98.592346,101.05884,75.30397,114.64347,97.75708,49.311951,44.428574,19.273199,99.063835,98.659225,10.297247,3.1798499,,53.013344,4.6856933
COM,Comoros,Sub-Saharan Africa,Low income,87.30101,75.011169,,104.20959,75.057838,,,,59.841351,,,,,8.8055248,4.5047197
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,98.342697,99.028656,51.922409,112.42426,96.020241,29.35166,20.03713,11.86962,93.24102,86.883049,6.9261599,1.43967,.042610001,22.333794,4.9924502
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,99.322922,99.05555,81.6735,110.81261,93.954948,53.86581,39.105049,,119.34967,95.913918,22.045425,2.5246549,,52.225491,6.9898067
CUB,Cuba,Latin America & Caribbean,Upper middle income,99.890297,96.031883,,97.738731,100,,,,97.78656,100,,,,42.226604,
CUW,Curacao,Latin America & Caribbean,High income,,,,175.24419,,,,,88.345543,,,,,20.312639,4.9309502
CYM,Cayman Islands,Latin America & Caribbean,High income,,,99.402969,,88.118813,95.022247,89.151062,54.820488,,,31.010689,9.2991304,.81418002,,
CYP,Cyprus,Europe & Central Asia,High income,99.858887,98.3255,94.053802,99.404938,,79.098503,69.480919,36.62611,99.168915,,25.466671,9.9174051,.62573999,53.576942,6.2890348
CZE,Czech Republic,Europe & Central Asia,High income,,98.24173,99.851051,99.18486,,99.807602,89.521217,19.957041,105.02245,,19.084267,14.893625,.55245996,65.453804,4.0890198
DEU,Germany,Europe & Central Asia,High income,,101.19038,100,103.78098,,96.729019,82.796272,33.38974,102.52432,,24.4625,10.890915,1.275185,64.931938,4.9403048
DJI,Djibouti,Middle East & North Africa,Lower middle income,,57.611168,,67.165291,98.002159,,,,46.159931,100,,,,,
DMA,Dominica,Latin America & Caribbean,Upper middle income,,106.80726,,117.41167,64.843445,,,,100.48789,44.256863,,,,,
