DHS,code,var,varlabel,value,value2
Afghanistan,1,4,female,-2.522527218,0.260060072
Angola,2,4,female,-0.046259295,-0.552111506
Armenia,3,4,female,-0.100753389,10.12775803
Bangladesh,4,4,female,-6.163482747,-7.623558043
Benin,5,4,female,-7.227562428,-1.000420332
Bolivia,6,4,female,2.131783247,3.306027174
Burkina Faso,7,4,female,-1.465500116,-1.339627624
Cambodia,8,4,female,4.776394844,0.366400212
Cameroon,9,4,female,2.071912289,0.078860372
Chad,10,4,female,-3.221068144,-1.317168713
Colombia,11,4,female,7.501616955,8.353282928
Comoros,12,4,female,2.938102007,-0.041027568
Congo,13,4,female,-2.009876251,-0.292924225
Congo DR,14,4,female,-4.63607645,0.155255809
Cote d'Ivoire,15,4,female,-4.414970398,-1.331916213
Dominican Republic,16,4,female,3.670676708,5.16919136
Ethiopia,17,4,female,-0.605115473,-0.384179175
Gabon,18,4,female,1.722192049,1.547018766
Gambia,19,4,female,-0.339197487,0.35864687
Ghana,20,4,female,1.106476426,-0.308436513
Guatemala,21,4,female,1.544631004,0.61830461
Guinea,22,4,female,-2.518404961,0.8304649
Haiti,23,4,female,2.975646973,-0.323225766
Honduras,24,4,female,6.660988331,0.795016825
India,25,4,female,-0.883575916,0.823464692
Indonesia,26,4,female,-2.902838836,-1.823464692
Kenya,27,4,female,0.600054383,0.304051727
Kyrgyz Republic,28,4,female,3.096597195,2.594445944
Lesotho,29,4,female,8.316903114,0.562548935
Liberia,30,4,female,-0.503017664,-0.092338994
Malawai,31,4,female,0.593412399,0.027153138
Mali,32,4,female,-3.962487459,-0.144800201
Mozambique,33,4,female,1.176157951,-1.298863053
Myanmar,34,4,female,6.539598942,6.115681171
Namibia,35,4,female,6.777769089,1.961281538
Nepal,36,4,female,2.319861174,1.604458332
Niger,37,4,female,-0.669918597,-0.830849886
Pakistan,38,4,female,-4.549742699,-3.234517574
Peru,39,4,female,0.882771611,1.61201632
Rwanda,40,4,female,2.34520793,0.059110671
Sierra Leone,41,4,female,-2.44987464,-0.247362912
Tajikistan,42,4,female,-0.581675828,-4.321125031
Timor-Leste,43,4,female,5.104203701,-0.051345035
Togo,44,4,female,-4.11716938,-0.813885212
Uganda,45,4,female,0.671190858,-0.060225528
Zambia,46,4,female,0.261180699,0.354858309
Zimbabwe,47,4,female,5.522033691,-0.120864846
Afghanistan,1,5,firstborn,2.203083038,1.299696922
Angola,2,5,firstborn,1.729265451,-0.043558195
Armenia,3,5,firstborn,0.303053588,-2.268408775
Bangladesh,4,5,firstborn,3.983255477,-5.643876043
Benin,5,5,firstborn,1.093940496,0.104547493
Bolivia,6,5,firstborn,0.826000214,-3.350667715
Burkina Faso,7,5,firstborn,3.020934582,1.290610671
Cambodia,8,5,firstborn,4.591650009,1.541790605
Cameroon,9,5,firstborn,3.30584383,0.636220872
Chad,10,5,firstborn,0.26172778,0.357587367
Colombia,11,5,firstborn,6.107958317,-5.463732243
Comoros,12,5,firstborn,1.396192431,-0.566127479
Congo,13,5,firstborn,1.145520806,0.011307097
Congo DR,14,5,firstborn,3.922651052,0.470969826
Cote d'Ivoire,15,5,firstborn,0.705955446,0.908056557
Dominican Republic,16,5,firstborn,1.478771329,2.55223918
Ethiopia,17,5,firstborn,-0.347313643,0.614719808
Gabon,18,5,firstborn,1.534500957,1.439003706
Gambia,19,5,firstborn,0.89072299,0.322262913
Ghana,20,5,firstborn,1.341698885,-0.36331442
Guatemala,21,5,firstborn,5.235582829,0.99059242
Guinea,22,5,firstborn,0.214502633,0.668449163
Haiti,23,5,firstborn,3.108226776,-0.543357372
Honduras,24,5,firstborn,4.974822521,1.273614287
India,25,5,firstborn,2.180141926,0.725655138
Indonesia,26,5,firstborn,3.925811772,-1.849258473
Kenya,27,5,firstborn,0.861008584,0.593570232
Kyrgyz Republic,28,5,firstborn,1.010761976,-3.202928305
Lesotho,29,5,firstborn,0.486544698,0.401640445
Liberia,30,5,firstborn,1.870610595,0.480933815
Malawai,31,5,firstborn,0.260024905,0.0306684
Mali,32,5,firstborn,1.677223444,1.521015644
Mozambique,33,5,firstborn,0.840013266,-0.188533351
Myanmar,34,5,firstborn,6.248254776,1.690344095
Namibia,35,5,firstborn,-0.104101628,-0.074093133
Nepal,36,5,firstborn,0.413012147,3.993024588
Niger,37,5,firstborn,2.122734785,-0.810070872
Pakistan,38,5,firstborn,0.084640071,4.511032104
Peru,39,5,firstborn,4.490601063,3.721255064
Rwanda,40,5,firstborn,0.577613473,-0.660397947
Sierra Leone,41,5,firstborn,-1.73357594,-0.323920071
Tajikistan,42,5,firstborn,5.414725304,4.053894043
Timor-Leste,43,5,firstborn,4.906467915,0.720549345
Togo,44,5,firstborn,2.341671467,-0.715508342
Uganda,45,5,firstborn,0.227818966,0.162654877
Zambia,46,5,firstborn,1.382026434,0.701292634
Zimbabwe,47,5,firstborn,2.853894472,0.501524746
Afghanistan,1,6,urban,4.885508537,2.078668594
Angola,2,6,urban,4.378920555,5.378920555
Armenia,3,6,urban,2.326549619,12.12649632
Bangladesh,4,6,urban,15.05938729,17.93763786
Benin,5,6,urban,3.36645031,0.621352315
Bolivia,6,6,urban,1.872538805,4.601186752
Burkina Faso,7,6,urban,8.378059387,7.937637806
Cambodia,8,6,urban,2.75159955,2.702789545
Cameroon,9,6,urban,8.046432495,6.170552969
Chad,10,6,urban,9.006582737,7.006582737
Colombia,11,6,urban,4.825313091,5.462656021
Comoros,12,6,urban,5.374514103,6.075574473
Congo,13,6,urban,-0.014006918,12.12795258
Congo DR,14,6,urban,5.69549036,2.395053387
Cote d'Ivoire,15,6,urban,11.02932387,12.23865891
